country,market_size_score,growth_score,demand_score,competition_score,pricing_score,regulatory_score,weighted_market_attractiveness_score
United States,4.99,1.58,4.8,1.2,4.98,4.5,3.65
Germany,3.39,2.6,3.9,2.4,3.94,2.8,3.18
United Kingdom,3.22,2.31,4.2,1.9,3.72,3.5,3.11
Australia,2.42,2.89,3.8,2.6,4.16,3.6,3.11
Saudi Arabia,2.0,5.0,2.8,3.5,2.81,1.9,3.06
United Arab Emirates,1.4,4.49,3.1,3.2,3.78,3.2,3.05
Netherlands,1.89,2.45,3.4,3.1,4.12,3.9,2.91
Canada,2.78,1.8,3.6,1.8,4.05,4.2,2.87
Singapore,1.04,3.33,2.2,3.3,4.06,4.0,2.67
India,2.52,5.0,1.5,2.2,1.02,1.4,2.5
